"first_name","last_name","gender","age","length_service","absent_hours","distribution_centers_id","entry_age"
"Gutierrez","Molly","F",32.028816,6.0184784,36.577305,5,26.010338
"Hardwick","Stephen","M",40.3209,5.5324445,30.165071,9,34.788456
"Delgado","Chester","M",48.82205,4.389973,83.8078,10,44.432076
"Simon","Irene","F",44.599358,3.0817358,70.020164,2,41.51762
"Delvalle","Edward","M",35.697876,3.6190915,0,4,32.078785
"Jones","Ernie","M",48.44031,2.7176924,81.83008,6,45.72262
"Buford","Ralph","M",50.75273,10.157918,60.49507,6,40.594814
"Lee","Gregory","M",36.21603,4.4321227,30.072903,10,31.783907
"Smith","Jerry","M",58.42738,6.9401207,181.63081,4,51.48726
"Beard","Robert","M",39.85398,13.848321,30.664408,10,26.005661
"Mathis","John","M",46.54758,4.8720384,28.018353,3,41.67554
"Barajas","John","M",15,3.7930422,0,5,11.206958
"Leonard","James","M",37.728012,3.621142,0,6,34.10687
"Davis","Janet","F",30.78519,4.5833282,34.334442,1,26.201862
"Bell","Thomas","M",49.92338,4.883225,0,9,45.040157
"Combs","Danny","M",42.79789,19.107199,21.659822,2,23.690691
"Vivanco","Anne","F",48.6213,9.940272,0,3,38.681026
"Craig","Bobbie","F",41.855812,2.5590537,55.09983,8,39.296757
"Jones","Ilona","F",51.008736,5.302773,81.59554,9,45.705963
"Watkins","Jan","F",36.91041,11.22628,94.668564,5,25.684132
"Callaway","Jesus","M",57.903244,3.3003037,108.38017,7,54.60294
"Hammett","Josephine","F",24.470303,3.1475103,0,2,21.322792
"Jarman","Sandra","F",49.51672,6.5335,67.74079,6,42.98322
"Butler","Jennifer","F",60.59551,4.4650364,158.70451,8,56.13047
"Simons","Larry","M",35.804665,4.62692,0,6,31.177744
"Mason","Penny","F",35.873386,3.1019256,48.01705,7,32.77146
"Burton","Theodore","M",41.935608,4.5572305,42.788025,8,37.378376
"Hunt","Joseph","M",35.497906,5.1746736,34.524273,7,30.323233
"Loiselle","Thomas","M",40.02887,12.185467,59.883163,3,27.843403
"Nguyen","William","M",49.756584,4.3136177,100.674095,4,45.442966
"Schrupp","James","M",38.111732,3.4935336,9.522524,3,34.6182
"Donaldson","Adriana","F",42.8715,19.006435,38.883324,1,23.865063
"Thompson","Felipe","M",49.942745,5.775266,129.83577,3,44.16748
"Livingston","Lester","M",77,3.2038498,44.27311,7,73.79615
"Ashley","Emma","F",23.747334,2.9920413,0,6,20.755293
"Davis","Jeffery","M",36.196064,18.196064,0,2,18
"Farris","Augustina","F",51.564957,4.64187,75.25705,6,46.923088
"Colman","Katherine","F",40.412014,6.1922684,58.97153,8,34.219746
"Martin","Daniel","M",52.446518,4.2912645,134.66838,3,48.155254
"Atencio","Morris","M",20.025562,4.483392,0,3,15.542171
"Harrod","Gloria","F",44.6066,4.862142,78.341736,3,39.74446
"Bell","Angelo","M",67.08801,2.1839583,168.99577,8,64.90405
"Kelley","Virginia","F",41.25328,2.0187829,56.21994,9,39.234497
"Turner","Stephen","M",62.05182,5.4736047,152.64677,9,56.578213
"Mortimer","Cecilia","F",28.075441,5.7766576,0,4,22.298784
"Stutts","Belle","F",49.905777,5.357403,80.24254,7,44.548374
"Bryant","John","M",50.07982,1,78.75328,9,49.07982
"Nolan","John","M",33.809452,5.6548085,0,2,28.154644
"Allison","Connie","F",51.605957,3.9855895,88.91128,10,47.62037
"McAllister","Greg","M",38.678833,20.678831,21.385532,6,18.000002
"Murry","Adam","M",30.297651,7.560141,3.7371001,4,22.73751
"Price","David","M",43.68609,0.38574618,38.066586,5,43.300343
"McCoy","Corey","M",50.047417,5.702537,116.22697,1,44.34488
"Baker","Linda","F",34.688946,4.7211056,0,3,29.96784
"Shultz","Charles","M",29.329834,3.2810373,0,5,26.048798
"Medina","Bonita","F",50.010544,3.6538017,77.13031,2,46.356743
"Houston","Harold","M",24.50853,4.796217,0,1,19.712313
"Mejia","James","M",42.628407,4.124607,24.792871,5,38.5038
"Bates","Charles","M",54.0493,4.0607905,121.448006,10,49.98851
"Ross","Robert","M",43.91047,4.197599,59.78368,7,39.71287
"Heller","Joseph","M",42.591404,5.101162,55.624264,2,37.490242
"Murray","Faye","F",55.76305,10.623616,0,8,45.139435
"Allen","Michelle","F",31.166658,0.7755179,0,6,30.39114
"Jones","Harvey","M",43.26244,5.8435693,55.058952,5,37.41887
"Nystrom","Jane","F",35.619247,3.6790955,44.634605,4,31.940151
"Albright","Paul","M",39.262,5.7480536,42.457394,2,33.513947
"Lovely","Janet","F",22.536413,5.8976407,0,2,16.638773
"Strayhorn","Billie","F",39.73937,11.885504,0,7,27.853865
"Jones","Tammy","F",46.949593,2.0246553,107.7955,3,44.92494
"Gay","Donald","M",44.10973,12.305714,78.84098,6,31.804016
"Green","Earnest","M",52.788757,4.58952,110.154305,5,48.199238
"Riley","Wendy","F",35.630444,3.947661,33.93441,6,31.682783
"Malizia","Randall","M",42.434258,3.3871286,28.604832,4,39.04713
"Lopez","Florence","F",40.967537,3.2852836,44.98743,2,37.682255
"Howell","Carol","F",46.770863,1.9916921,126.50113,5,44.77917
"Chico","Joyce","F",45.30081,5.567974,19.619146,1,39.732838
"White","Anthony","M",38.296555,6.0956173,0,6,32.200935
"Smith","Danny","M",35.4939,8.348239,44.97411,5,27.14566
"Porter","Ana","F",41.661343,4.711744,45.95479,3,36.9496
"Depaz","Shari","F",43.511875,1.778631,83.3173,10,41.733246
"Witkowski","Alice","F",54.004818,2.8705914,136.3424,10,51.134228
"Alvarez","Kenneth","M",46.224236,4.4162498,53.312027,4,41.807987
"Morales","Soledad","F",47.65733,4.2524533,96.61324,2,43.404877
"Burden","Alexis","F",51.991375,2.9640894,140.91115,6,49.027287
"Dyal","William","M",33.368336,2.3018765,31.692299,1,31.06646
"Hayden","Kenneth","M",47.604084,4.1493297,12.684109,1,43.454754
"Caban","Joshua","M",34.6622,13.828331,54.30033,9,20.83387
"Knight","Mildred","F",37.24006,18.641315,0,4,18.598743
"Thurmond","Linda","F",45.47882,6.8372397,103.34937,8,38.641582
"Monroe","Terra","F",26.913671,3.9839504,0,3,22.929722
"Velez","Colleen","F",37.742424,3.569518,49.846413,2,34.172905
